日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
20260609,2354,0.0,56.8,54.9,56.4,13376502,747415447,9084,0,0,13376502
20260609,2354,0.0,0.0,0.0,0.0,0,0,0,0,0,0
20260610,2354,0.0,59.2,56.5,58.8,9143338,526188137,5783,0,0,9143338
20260611,2354,0.0,58.4,56.1,56.3,9575280,547834129,7067,0,0,9575280
20260612,2354,0.0,56.7,55.4,56.2,8444984,472360005,4708,0,0,8444984
20260612,2354,57.25,57.5,57.0,57.0,5144002,293208114,21,3054000,2090002,5144002
20260615,2354,0.0,58.0,57.0,57.0,5196500,298917729,3536,0,0,5196500
20260615,2354,57.75,59.0,57.7,57.7,5174001,298539857,1369,2905000,2269001,5174001
20260616,2354,0.0,59.0,57.7,57.7,5234094,303771614,3634,0,0,5234094
20260616,2354,0.0,59.0,57.7,57.7,5234094,303771614,3634,0,0,5234094
20260617,2354,0.0,58.4,56.9,57.0,5324442,305159507,4085,0,0,5324442
20260617,2354,57.15,57.5,57.1,57.5,3736000,214820000,328,1684000,2052000,3736325
20260618,2354,0.0,57.5,56.5,57.5,3792624,216663560,2878,0,0,3792624
20260622,2354,0.0,58.2,57.5,57.9,8137908,471256372,3404,0,0,8137908
20260622,2354,57.95,58.9,57.5,58.0,9930000,575940000,2074,6359000,3571000,9930000
20260623,2354,0.0,58.7,57.5,58.0,10039698,582350586,5716,0,0,10039698
20260623,2354,58.05,58.4,57.0,57.1,6292000,359273200,1181,3748000,2544000,8064313
20260624,2354,0.0,58.4,56.5,56.6,10688202,611862490,6033,0,0,10688202
20260624,2354,56.25,59.0,56.25,58.0,8942000,518636000,2131,3311000,5631000,8942000
20260625,2354,0.0,59.0,56.4,58.0,9027485,523484522,5520,0,0,9027485
20260625,2354,57.45,57.8,57.3,57.4,4690000,269206000,618,2702000,1988000,4690226
20260626,2354,0.0,58.5,57.3,57.4,4753113,273969957,3227,0,0,4753113
20260626,2354,57.05,57.1,54.9,54.9,11426000,627287400,2004,8742000,2684000,11426000
20260629,2354,0.0,57.1,54.9,54.9,11620618,649464729,7436,0,0,11620618
20260629,2354,55.55,55.55,55.55,55.55,0,0,0,0,0,154430
20260630,2354,0.0,55.9,54.6,54.8,4739149,261610119,3624,0,0,4739149
20260630,2354,56.15,56.8,55.0,55.3,3889000,215061700,1137,2125000,1764000,3889000
20260701,2354,0.0,55.6,55.0,55.3,3958894,219323926,2950,0,0,3958894
20260701,2354,55.15,55.2,55.0,55.0,4792000,263560000,80,3387000,1405000,4792000
20260702,2354,0.0,55.4,53.9,54.9,6487729,355070456,4154,0,0,6487729
20260702,2354,0.0,55.4,53.9,54.9,6487729,355070456,4154,3122000,3307000,6487729
20260703,2354,0.0,55.4,53.9,54.9,6487729,355070456,4154,0,0,6487729
20260706,2354,0.0,55.8,54.4,55.6,3148033,174523913,2650,0,0,3148033
20260706,2354,58.85,59.0,58.4,58.4,16682000,974228800,1107,7044000,9638000,16682000
20260707,2354,0.0,60.3,58.2,58.4,16885111,1000124087,11248,0,0,16885111
20260707,2354,56.8,57.0,56.6,56.9,6357000,361713300,201,4307000,2050000,6357000
20260708,2354,0.0,59.1,56.5,56.9,6452968,371250287,4777,0,0,6452968
20260709,2354,0.0,57.9,55.8,57.9,5389820,306657496,3621,0,0,5389820
20260710,2354,57.2,58.0,56.5,57.0,3706464,212005201,3079,0,0,3706464
20260711,2354,57.2,58.0,56.5,57.0,3706464,212005201,3079,0,0,3706464
20260713,2354,57.2,58.0,56.5,57.0,3706464,212005201,3079,0,0,3706464
20260714,2354,57.2,57.9,56.5,56.6,3489999,198919043,2604,0,0,3489999
20260715,2354,57.1,57.1,54.5,55.7,4752495,263479011,3534,0,0,4752495
20260715,2354,57.1,57.1,54.5,55.7,4752495,263479011,3534,1173000,1125001,4752495
20260716,2354,56.1,56.8,56.0,56.4,2456252,138432399,2061,0,0,2456252
20260716,2354,56.1,56.8,56.0,56.4,2456252,138432399,2061,341000,140004,2456252
20260717,2354,56.1,56.8,55.6,56.4,2786519,156509031,2213,0,0,2786519
20260717,2354,56.1,56.8,55.6,56.4,2786519,156509031,2213,4002000,1405001,2786519
20260719,2354,55.5,56.0,53.8,54.0,7115922,388546591,5334,0,0,7115922
20260720,2354,55.5,56.0,53.8,54.0,7115922,388546591,5334,0,0,7115922
20260721,2354,55.0,55.0,52.9,54.0,5868971,316900563,4451,0,0,5868971
20260722,2354,54.5,55.8,54.5,55.2,3996790,220771781,2813,0,0,3996790
20260722,2354,56.25,56.3,56.1,56.2,1363001,7663,138,592000,771001,1363001
20260723,2354,55.6,56.8,55.6,56.1,4008916,225903232,3202,0,0,4008916
20260724,2354,57.0,57.2,56.8,56.8,2697002,15340,53,1155000,1542002,3405839
20260728,2354,56.8,57.7,56.3,57.1,4134830,235375718,2934,0,0,4134830
20260803,2354,54.9,57.1,54.8,56.5,8130855,457644833,4875,0,0,8130855
20260804,2354,54.9,57.1,54.8,56.5,8130855,457644833,4875,0,0,8130855
20260805,2354,0,0,0,0,0,0,0,0,0,0
