日期時間,日期,stock_id,開盤價,最高價,最低價,收盤價,成交股數,成交金額,成交筆數,total_in_volume,total_out_volume,estimated_day_volume
2026-08-16 21:46:39,20260601,6412,104.5,112.0,103.5,106.0,7794032,841230936,6616,0,0,7794032
2026-08-16 21:46:40,20260602,6412,106.5,108.5,101.5,104.0,18061000,1878344000,5099,0,0,6512002
2026-08-16 21:46:41,20260603,6412,106.5,106.5,100.5,104.5,5816496,601676689,4304,0,0,5816496
2026-08-16 21:46:42,20260604,6412,105.0,105.0,101.0,103.0,5202835,532766695,3726,0,0,5202835
2026-08-16 21:46:43,20260605,6412,102.5,102.5,97.2,97.9,5894566,580430126,4985,4532000,1276000,5894566
2026-08-16 21:46:44,20260608,6412,0.0,102.5,97.2,97.9,5894566,580430126,4985,0,0,5894566
2026-08-16 21:46:45,20260608,6412,89.0,96.0,88.0,94.0,5363000,504122000,2600,3847000,1516000,5363000
2026-08-16 21:46:46,20260609,6412,0.0,95.7,88.2,94.0,5414590,503368484,4820,0,0,5414590
2026-08-16 21:46:47,20260609,6412,0.0,0.0,0.0,0.0,0,0,0,0,0,0
2026-08-16 21:46:48,20260610,6412,0.0,90.5,87.5,88.9,8007699,707441784,6834,0,0,8007699
2026-08-16 21:46:49,20260611,6412,0.0,89.5,86.2,87.0,4133477,362872080,3602,0,0,4133477
2026-08-16 21:46:50,20260612,6412,0.0,91.5,86.8,91.4,4838571,432433842,4008,0,0,4838571
2026-08-16 21:46:51,20260612,6412,91.65,91.8,91.6,91.7,4838674,443706405,7,2419285,2419389,4838674
2026-08-16 21:46:52,20260615,6412,0.0,94.8,91.6,91.7,2642915,246259625,2251,0,0,2642915
2026-08-16 21:46:53,20260615,6412,92.8,95.5,89.4,94.2,3657004,344489776,1341,2034000,1623004,3657004
2026-08-16 21:46:54,20260616,6412,0.0,95.5,89.4,94.2,3710152,344591758,3129,0,0,3710152
2026-08-16 21:46:55,20260616,6412,0.0,95.5,89.4,94.2,3710152,344591758,3129,0,0,3710152
2026-08-16 21:46:56,20260617,6412,0.0,95.2,91.3,91.6,5500769,512813221,4888,0,0,5500769
2026-08-16 21:46:57,20260617,6412,92.35,92.6,92.0,92.5,2394000,221445000,140,1535000,859000,2394000
2026-08-16 21:46:58,20260618,6412,0.0,94.0,91.4,92.5,2421312,223980935,1968,0,0,2421312
2026-08-16 21:46:59,20260622,6412,0.0,93.2,91.5,91.6,3883724,357874510,3348,0,0,3883724
2026-08-16 21:47:00,20260622,6412,92.4,95.4,92.3,95.0,4812000,457140000,1767,2330000,2482000,4812000
2026-08-16 21:47:01,20260623,6412,0.0,95.4,92.3,95.0,4910099,463146842,4402,0,0,4910099
2026-08-16 21:47:02,20260623,6412,95.45,95.5,93.3,94.3,1857000,175115100,659,1187000,670000,2915036
2026-08-16 21:47:03,20260624,6412,0.0,95.5,93.3,94.0,2671367,252087584,2855,0,0,2671367
2026-08-16 21:47:04,20260624,6412,93.45,93.9,92.1,93.1,2371000,220740100,784,1744000,627000,2371000
2026-08-16 21:47:05,20260625,6412,0.0,93.9,92.1,93.1,2428835,225607126,2413,0,0,2428835
2026-08-16 21:47:06,20260625,6412,92.95,93.5,92.9,92.9,1393000,129409700,237,893000,500000,1393000
2026-08-16 21:47:07,20260626,6412,0.0,94.5,92.5,92.9,1419713,132397668,1423,0,0,1419713
2026-08-16 21:47:08,20260626,6412,93.15,93.15,88.5,88.5,2390000,211515000,820,1680000,710000,2390000
2026-08-16 21:47:09,20260629,6412,0.0,93.0,88.5,88.5,2468530,223427056,2674,0,0,2468530
2026-08-16 21:47:10,20260629,6412,88.3,88.3,88.3,88.3,0,0,0,0,0,33133
2026-08-16 21:47:11,20260630,6412,0.0,92.7,88.2,92.3,1685713,154010077,1691,0,0,1685713
